Kod Pocztowy;Gmina;Powiat;;;;
02-972;;;;;;
83-300;;;;;;
06-400;;;;;;
43-300;;;;;;
34-212;;;;;;
05-500;;;;;;
38-400;;;;;;
02-705;;;;;;
02-972;;;;;;
33-140;;;;;;
33-390;;;;;;
46-325;;;;;;
62-800;;;;;;
05-092;;;;;;
02-237;;;;;;
02-604;;;;;;
02-699;;;;;;
98-220;;;;;;
81-339;;;;;;
02-675;;;;;;
05-552;;;;;;
49-200;;;;;;
61-249;;;;;;
02-822;;;;;;
43-502;;;;;;
01-708;;;;;;
50-452;;;;;;
44-100;;;;;;
82-500;;;;;;
64-300;;;;;;
00-728;;;;;;
35-312;;;;;;
77-100;;;;;;
04-058;;;;;;
64-316;;;;;;
43-300;;;;;;
02-238;;;;;;
00-773;;;;;;
08-300;;;;;;
62-817;;;;;;
30-519;;;;;;
60-595;;;;;;
97-570;;;;;;
34-300;;;;;;
30-519;;;;;;
05-270;;;;;;
62-200;;;;;;
08-304;;;;;;
00-843;;;;;;
87-700;;;;;;
26-600;;;;;;
01-494;;;;;;
62-095;;;;;;
81-061;;;;;;
90-423;;;;;;
02-285;;;;;;
87-100;;;;;;
02-724;;;;;;
32-020;;;;;;
81-155;;;;;;
87-730;;;;;;
30-198;;;;;;
30-444;;;;;;
62-800;;;;;;
81-334;;;;;;
34-500;;;;;;
02-146;;;;;;
44-304;;;;;;
95-082;;;;;;
56-500;;;;;;
05-270;;;;;;
34-424;;;;;;
61-464;;;;;;
05-660;;;;;;
00-477;;;;;;
22-500;;;;;;
42-460;;;;;;
62-800;;;;;;
62-200;;;;;;
36-100;;;;;;
23-200;;;;;;
81-406;;;;;;
62-731;;;;;;
05-870;;;;;;
32-067;;;;;;
84-240;;;;;;
02-715;;;;;;
00-020;;;;;;
02-650;;;;;;
67-410;;;;;;
45-340;;;;;;
01-205;;;;;;
07-104;;;;;;
61-581;;;;;;
32-200;;;;;;
81-061;;;;;;
21-504;;;;;;
20-710;;;;;;
38-530;;;;;;
57-500;;;;;;
45-340;;;;;;
38-120;;;;;;
02-757;;;;;;
04-569;;;;;;
00-032;;;;;;
15-107;;;;;;
94-039;;;;;;
05-200;;;;;;
30-039;;;;;;
32-085;;;;;;
09-402;;;;;;
18-212;;;;;;
05-300;;;;;;
64-000;;;;;;
43-190;;;;;;
11-034;;;;;;
89-632;;;;;;
24-335;;;;;;
51-129;;;;;;
43-300;;;;;;
32-660;;;;;;
02-869;;;;;;
72-602;;;;;;
65-410;;;;;;
32-432;;;;;;
03-734;;;;;;
02-390;;;;;;
17-220;;;;;;
31-548;;;;;;
05-092;;;;;;
72-010;;;;;;
10-449;;;;;;
02-796;;;;;;
61-131;;;;;;
34-520;;;;;;
06-100;;;;;;
02-972;;;;;;
32-086;;;;;;
00-828;;;;;;
09-460;;;;;;
64-920;;;;;;
30-241;;;;;;
80-299;;;;;;
00-175;;;;;;
05-850;;;;;;
58-211;;;;;;
47-400;;;;;;
30-698;;;;;;
83-207;;;;;;
37-111;;;;;;
21-200;;;;;;
58-508;;;;;;
90-135;;;;;;
70-784;;;;;;
34-300;;;;;;
65-775;;;;;;
75-241;;;;;;
01-162;;;;;;
62-052;;;;;;
32-070;;;;;;
73-108;;;;;;
60-201;;;;;;
02-819;;;;;;
40-611;;;;;;
11-600;;;;;;
31-401;;;;;;
82-300;;;;;;
28-131;;;;;;
04-853;;;;;;
32-020;;;;;;
43-300;;;;;;
42-133;;;;;;
32-700;;;;;;
03-230;;;;;;
02-017;;;;;;
70-807;;;;;;
15-102;;;;;;
00-420;;;;;;
30-714;;;;;;
05-825;;;;;;
84-100;;;;;;
32-070;;;;;;
40-833;;;;;;
87-100;;;;;;
09-500;;;;;;
80-342;;;;;;
00-844;;;;;;
16-400;;;;;;
53-234;;;;;;
87-300;;;;;;
60-476;;;;;;
02-823;;;;;;
72-320;;;;;;
72-600;;;;;;
76-150;;;;;;
01-001;;;;;;
00-094;;;;;;
93-232;;;;;;
90-606;;;;;;
87-100;;;;;;
96-300;;;;;;
20-402;;;;;;
43-450;;;;;;
30-133;;;;;;
05-850;;;;;;
42-674;;;;;;
07-130;;;;;;
43-190;;;;;;
78-200;;;;;;
22-600;;;;;;
90-361;;;;;;
05-082;;;;;;
09-402;;;;;;
15-501;;;;;;
35-315;;;;;;
62-052;;;;;;
15-617;;;;;;
16-070;;;;;;
42-772;;;;;;
58-303;;;;;;
18-106;;;;;;
24-300;;;;;;
01-424;;;;;;
53-659;;;;;;
70-477;;;;;;
00-837;;;;;;
50-062;;;;;;
15-521;;;;;;
62-025;;;;;;
43-100;;;;;;
40-074;;;;;;
47-303;;;;;;
73-108;;;;;;
97-310;;;;;;
63-700;;;;;;
31-636;;;;;;
64-316;;;;;;
55-330;;;;;;
62-800;;;;;;
41-403;;;;;;
41-300;;;;;;
70-846;;;;;;
62-510;;;;;;
81-704;;;;;;
02-679;;;;;;
90-106;;;;;;
01-303;;;;;;
62-080;;;;;;
80-460;;;;;;
08-450;;;;;;
62-230;;;;;;
88-300;;;;;;
10-467;;;;;;
30-390;;;;;;
51-422;;;;;;
62-045;;;;;;
87-800;;;;;;
07-130;;;;;;
26-624;;;;;;
02-856;;;;;;
02-285;;;;;;
15-776;;;;;;
61-586;;;;;;
02-231;;;;;;
04-987;;;;;;
55-200;;;;;;
42-208;;;;;;
21-003;;;;;;
95-040;;;;;;
28-100;;;;;;
01-208;;;;;;
78-100;;;;;;
26-660;;;;;;
62-200;;;;;;
03-840;;;;;;
08-200;;;;;;
00-043;;;;;;
09-411;;;;;;
33-300;;;;;;
84-120;;;;;;
06-100;;;;;;
64-316;;;;;;
83-200;;;;;;
43-316;;;;;;
20-209;;;;;;
61-131;;;;;;
32-061;;;;;;
42-271;;;;;;
34-500;;;;;;
31-941;;;;;;
08-108;;;;;;
05-270;;;;;;
05-091;;;;;;
64-212;;;;;;
60-312;;;;;;
62-025;;;;;;
00-841;;;;;;
84-230;;;;;;
04-443;;;;;;
97-200;;;;;;
76-220;;;;;;
34-200;;;;;;
05-660;;;;;;
26-600;;;;;;
26-050;;;;;;
64-810;;;;;;
66-004;;;;;;
32-590;;;;;;
87-100;;;;;;
02-241;;;;;;
17-100;;;;;;
05-090;;;;;;
02-092;;;;;;
01-303;;;;;;
62-045;;;;;;
02-486;;;;;;
64-100;;;;;;
00-006;;;;;;
38-400;;;;;;
56-500;;;;;;
80-257;;;;;;
39-432;;;;;;
38-400;;;;;;
42-605;;;;;;
02-819;;;;;;
00-029;;;;;;
64-400;;;;;;
00-844;;;;;;
26-065;;;;;;
87-100;;;;;;
05-660;;;;;;
07-130;;;;;;
89-400;;;;;;
02-886;;;;;;
98-220;;;;;;
43-470;;;;;;
40-048;;;;;;
27-200;;;;;;
33-113;;;;;;
62-800;;;;;;
43-346;;;;;;
83-200;;;;;;
64-510;;;;;;
02-486;;;;;;
00-728;;;;;;
32-400;;;;;;
00-078;;;;;;
05-830;;;;;;
34-745;;;;;;
06-500;;;;;;
82-500;;;;;;
11-600;;;;;;
26-052;;;;;;
93-348;;;;;;
00-483;;;;;;
33-113;;;;;;
64-600;;;;;;
61-070;;;;;;
93-569;;;;;;
02-001;;;;;;
40-642;;;;;;
97-200;;;;;;
43-100;;;;;;
64-360;;;;;;
01-625;;;;;;
04-564;;;;;;
70-606;;;;;;
02-495;;;;;;
05-071;;;;;;
58-100;;;;;;
03-236;;;;;;
03-236;;;;;;
21-040;;;;;;
93-231;;;;;;
35-959;;;;;;
87-820;;;;;;
88-170;;;;;;
43-227;;;;;;
02-676;;;;;;
09-400;;;;;;
03-310;;;;;;
05-400;;;;;;
05-100;;;;;;
64-010;;;;;;
59-800;;;;;;
62-080;;;;;;
09-200;;;;;;
02-054;;;;;;
41-704;;;;;;
49-200;;;;;;
15-950;;;;;;
81-350;;;;;;
54-142;;;;;;
43-385;;;;;;
31-588;;;;;;
27-400;;;;;;
77-100;;;;;;
38-543;;;;;;
90-135;;;;;;
23-225;;;;;;
62-650;;;;;;
44-153;;;;;;
61-829;;;;;;
32-340;;;;;;
31-114;;;;;;
58-200;;;;;;
43-370;;;;;;
83-340;;;;;;
09-200;;;;;;
64-920;;;;;;
12-100;;;;;;
08-400;;;;;;
80-864;;;;;;
63-600;;;;;;
09-412;;;;;;
64-060;;;;;;
